Sl. No.,Course Name (Mentored) / Course_ID,Mentor’s Name,Department (Affiliation),Student Enrollment Count,Student Registration Count,Students Appeared,ELITE GOLD Count,ELITE Count,Students passed,Participation Count (only)
1,Mechanics of Materials,Deepa Sahu,CIVIL,1,0,0,0,0,0,0
2,Soil Mechanics/Geotechnical Engineering I,Gourav Kumar Saxena,CIVIL,0,0,0,0,0,0,0
3,Sustainable Engineering Concepts And Life Cycle Analysis,DEEPTI HAZARI,CIVIL,0,0,0,0,0,0,0
4,Computer Organization and Architecture A Pedagogical Aspect,Kauleshwar Prasad,COMP. SC. / IT / MCA,2,0,0,0,0,0,0
5,Introduction to Modern Application Development,Chaitali Choudhary,COMP. SC. / IT / MCA,6,2,1,1,0,0,0
6,Embedded Systems Design,Saurabh Singh,COMP. SC. / IT / MCA,0,0,0,0,0,0,0
7,Introduction to internet of things,Dr. Jyothi Pillai,COMP. SC. / IT / MCA,2,1,1,1,0,0,0
8,Wireless Ad Hoc and Sensor Networks,SHIV DUTTA MISHRA,COMP. SC. / IT / MCA,0,0,0,0,0,0,0
9,Problem Solving through Programming in C,Sumit Kumar Sar,COMP. SC. / IT / MCA,7,5,5,2,1,2,1
10,Introduction to Soft Computing,Dr. Arpana Rawal,COMP. SC. / IT / MCA,4,0,0,0,0,0,0
11,Data Mining,Dr. Jyothi Pillai,COMP. SC. / IT / MCA,4,2,1,0,0,1,0
12,Data Base Management System,Dinesh Kumar Bhawnani,COMP. SC. / IT / MCA,2,0,0,0,0,0,0
13,Cloud computing,Monika Arya,COMP. SC. / IT / MCA,4,3,3,2,0,1,0
14,An Introduction to Probability in Computing,Monika Verma,INTER-DISCPLINARY,1,0,0,0,0,0,0
15,Artificial Intelligence: Knowledge Representation and Reasoning,Dr. Ramesh Kumar,COMP. SC. / IT / MCA,2,0,0,0,0,0,0
16,AI:Constraint Satisfaction,Shankha De,COMP. SC. / IT / MCA,2,0,0,0,0,0,0
